DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/15/2018 08:00:38 AM,2018/03/01,Misc. Terminal,Arrival,Domestic,3565838
06/15/2018 08:00:37 AM,2018/04/01,Terminal 5,Arrival,International,3598621
06/15/2018 08:00:37 AM,2018/04/01,Misc. Terminal,Departure,International,3561747
07/15/2018 08:00:37 AM,2018/05/01,Tom Bradley International Terminal,Arrival,Domestic,3730333
07/15/2018 08:00:37 AM,2018/05/01,Terminal 5,Departure,Domestic,3814544
08/15/2018 08:00:39 AM,2018/06/01,Terminal 8,Departure,International,4098962
08/15/2018 08:00:39 AM,2018/06/01,Terminal 3,Arrival,Domestic,3913507
09/15/2018 08:00:40 AM,2018/07/01,Terminal 6,Arrival,International,4242106
09/15/2018 08:00:40 AM,2018/07/01,Terminal 8,Departure,Domestic,4188324
10/15/2018 08:00:41 AM,2018/08/01,Terminal 3,Departure,International,4069622
10/15/2018 08:00:41 AM,2018/08/01,Terminal 5,Arrival,Domestic,4067788
11/15/2018 08:00:40 AM,2018/09/01,Terminal 6,Departure,International,3448014
11/15/2018 08:00:40 AM,2018/09/01,Terminal 7,Arrival,International,3434510
